order_item_id,order_id,product_id,quantity,unit_price,discount,line_total
1,1,61,5,837.25,0.0,4186.25
2,1,58,1,1536.46,0.0,1536.46
3,2,130,3,2165.07,0.0,6495.21
4,2,138,3,1381.02,0.0,4143.06
5,2,158,4,2372.48,0.0,9489.92
6,3,171,2,793.73,0.0,1587.46
7,3,62,2,1772.66,0.0,3545.32
8,4,138,2,1440.41,0.1,2592.74
9,4,34,2,933.55,0.0,1867.1
10,5,111,1,536.17,0.0,536.17
11,5,32,2,29.95,0.0,59.9
12,5,199,1,57.77,0.0,57.77
13,6,58,3,1565.83,0.0,4697.49
14,6,147,2,175.31,0.0,350.62
15,7,35,2,817.95,0.0,1635.9
16,7,17,3,2049.72,0.0,6149.16
17,8,29,1,206.02,0.1,185.42
18,8,111,1,538.54,0.0,538.54
19,8,46,1,137.96,0.1,124.16
20,8,117,1,979.48,0.1,881.53
21,9,10,1,65.59,0.0,65.59
22,9,17,1,2135.43,0.1,1921.89
23,10,114,4,1872.22,0.0,7488.88
24,11,63,2,200.32,0.0,400.64
25,11,46,2,135.09,0.0,270.18
26,11,88,3,1692.2,0.0,5076.6
27,12,153,1,864.86,0.25,648.64
28,12,193,1,10.02,0.0,10.02
29,12,89,3,2523.6,0.0,7570.8
30,13,153,1,892.63,0.0,892.63
31,13,194,3,59.33,0.1,160.19
32,14,17,2,2128.67,0.1,3831.61
33,14,26,2,154.51,0.0,309.02
34,15,14,1,143.28,0.0,143.28
35,15,74,1,2261.13,0.0,2261.13
36,16,163,1,143.09,0.1,128.78
37,16,158,2,2417.7,0.0,4835.4
38,16,91,3,98.27,0.0,294.81
39,16,121,4,742.63,0.0,2970.52
40,16,177,1,1746.95,0.0,1746.95
41,17,149,2,2098.48,0.0,4196.96
42,17,113,2,850.76,0.0,1701.52
43,18,98,4,17.84,0.0,71.36
44,18,114,2,1883.86,0.0,3767.72
45,19,6,2,766.92,0.1,1380.46
46,19,121,2,711.7,0.0,1423.4
47,19,41,1,655.58,0.0,655.58
48,20,9,2,1687.04,0.1,3036.67
49,20,74,2,2267.16,0.0,4534.32
50,20,63,1,197.61,0.0,197.61
51,20,22,2,1775.28,0.0,3550.56
52,21,61,3,793.18,0.1,2141.59
53,22,179,3,379.43,0.2,910.63
54,22,122,2,1061.28,0.0,2122.56
55,23,66,1,2357.42,0.0,2357.42
56,23,88,3,1813.39,0.0,5440.17
57,23,90,3,509.64,0.0,1528.92
58,24,178,3,79.18,0.0,237.54
59,25,158,3,2497.54,0.1,6743.36
60,25,45,1,318.74,0.0,318.74
61,26,56,3,938.67,0.0,2816.01
62,26,125,1,209.83,0.0,209.83
63,26,7,2,711.84,0.0,1423.68
64,27,23,5,173.17,0.0,865.85
65,27,173,2,389.09,0.0,778.18
66,27,80,1,169.79,0.0,169.79
67,28,96,5,1958.07,0.1,8811.32
68,28,54,3,62.26,0.0,186.78
69,29,123,3,983.9,0.0,2951.7
70,29,185,2,697.96,0.0,1395.92
71,29,51,3,1325.32,0.0,3975.96
72,29,94,1,75.11,0.0,75.11
73,30,96,3,1804.18,0.2,4330.03
74,30,76,2,152.75,0.0,305.5
75,30,1,2,365.46,0.0,730.92
76,30,28,2,192.08,0.2,307.33
77,31,37,2,67.3,0.2,107.68
78,31,130,2,2208.28,0.0,4416.56
79,32,16,1,243.7,0.2,194.96
80,32,164,2,58.17,0.0,116.34
81,33,130,1,2131.03,0.0,2131.03
82,33,79,2,340.69,0.0,681.38
83,34,156,1,1408.79,0.0,1408.79
84,34,117,1,997.3,0.0,997.3
85,34,163,3,146.16,0.0,438.48
86,34,118,2,816.56,0.0,1633.12
87,35,128,2,1002.53,0.0,2005.06
88,35,121,1,728.39,0.0,728.39
89,35,17,2,2144.63,0.0,4289.26
90,36,97,1,2370.68,0.1,2133.61
91,36,57,2,83.27,0.0,166.54
92,36,179,3,354.08,0.1,956.02
93,36,94,2,73.73,0.0,147.46
94,37,36,2,2283.7,0.0,4567.4
95,37,103,4,558.08,0.0,2232.32
96,38,146,2,37.37,0.0,74.74
97,38,59,1,1467.21,0.0,1467.21
